Image,Actual,Predicted,Error Type
IMG_20231211_161238_224_jpg.rf.621477b9a483871f532968fbec5a7837.jpg,"Helmet, Passenger, Passenger, Bike",Nothing detected,False Negative
IMG_20231211_161012_655_jpg.rf.ead191a28866c9cb64e7fecc5d88fad3.jpg,"Helmet, Passenger, Bike",Nothing detected,False Negative
IMG_20231211_160850_325_jpg.rf.8c1baf48ee98cf1eaa93e89975093572.jpg,"Helmet, Passenger, Bike",Nothing detected,False Negative
IMG_20231211_161035_543_jpg.rf.66891cf9e2a21ed3733b63804f3e4b34.jpg,"Helmet, Passenger, Bike",Nothing detected,False Negative
IMG_20231211_160849_440_jpg.rf.0bf6e83b2f8212917a3a386811d493e4.jpg,"Helmet, Passenger, Bike",Nothing detected,False Negative
IMG_20231211_163849_459_jpg.rf.05aa8ea8cff940b2e446ddc720fd6a06.jpg,"Helmet, Passenger, Passenger, Passenger, Bike",Nothing detected,False Negative
IMG_20231211_160739_764_jpg.rf.89009535a9fa0ed2c0845bfc7f7d93f2.jpg,"Bike, Passenger",Nothing detected,False Negative
IMG_20231211_161032_657_jpg.rf.c9f13a2a5385a8e8e55bacf7af86d238.jpg,"Helmet, Passenger, Bike",Nothing detected,False Negative
IMG_20231211_161303_657_jpg.rf.59cc213e64d13d644055137ccfcd6ff6.jpg,"Passenger, Passenger, Helmet, Bike",Nothing detected,False Negative
IMG_20231211_160457_277_jpg.rf.46e821190546b198e75e4325a7ba7cbf.jpg,"Passenger, Bike",Nothing detected,False Negative
IMG_20231211_160448_469_jpg.rf.e9effbbdf65c4e584c8b886f3349c1ff.jpg,"Bike, Passenger",Nothing detected,False Negative
IMG_20231211_160835_412_jpg.rf.2591d3b2443c73a3e51c42eb52024599.jpg,"Helmet, Passenger, Bike",Nothing detected,False Negative
IMG_20231211_160725_265_jpg.rf.7b59c9662771fd9bdeef29d196a41a7b.jpg,"Passenger, Bike",Nothing detected,False Negative
IMG_20231211_160841_211_jpg.rf.44c3a3c698e17219883f6ddb0ee87d26.jpg,"Helmet, Passenger, Bike",Nothing detected,False Negative
IMG_20231211_160707_195_jpg.rf.e7421ae41af35ef53af0528343dcf1f7.jpg,"Bike, Passenger",Nothing detected,False Negative
